name,price_annual,time_to_dev_weeks,cost_to_create_annual,price_over_time,patents_affected_by_drug_percent,patents_developed_inhibitors_percent,patents_died_during_trials_percent,side_effects,works_with_inhibitors
wuuvgvrcaatgc,523095,16,257504,['increasing'],19,51,5.708492091358461,"['Confusion', 'Nausea', 'Headache']",True
qibenehslimak,422470,45,241193,['increasing'],53,84,6.88295225944672,['Confusion'],True
kecxnfpvaadse,426232,3,221437,['decreasing'],76,68,3.0140350897234276,"['Coughing up blood', 'Weakness', 'Confusion', 'Nausea']",False
srofzunfqkoiq,401716,38,241266,['increasing'],64,71,1.5978040970055583,"['Confusion', 'Headache', 'Nausea']",False
bhzwhwiytkgaw,488943,79,244777,['decreasing'],75,38,4.590035952632064,"['Coughing up blood', 'Nausea']",True
avzoewzsnjjfr,346430,16,264665,['decreasing'],55,63,1.4572390937655486,[],False
lfcrhmiwxafiz,528516,31,270974,['decreasing'],55,74,0.18823811662022827,"['Headache', 'Nausea', 'Coughing up blood', 'Weakness']",False
uifrvyiwrmzgs,415745,16,273277,['decreasing'],63,40,1.6901744070008853,"['Coughing up blood', 'Confusion', 'Headache', 'Nausea']",False
cexftpvjihwpy,464356,8,257139,['increasing'],68,54,3.651612487928646,['Coughing up blood'],False
xdocbbwuvipuj,438778,17,272128,['increasing'],63,60,4.378420597758043,"['Confusion', 'Coughing up blood', 'Headache', 'Nausea']",True
ofcgxoylhuvar,515794,51,231140,['decreasing'],62,32,0.12940781096062515,"['Confusion', 'Coughing up blood']",True
ccxbgzkdegtcx,357293,6,281321,['increasing'],46,66,3.5617290112201125,"['Headache', 'Coughing up blood', 'Nausea']",True
jzxhgmcqbazhp,435491,64,262823,['decreasing'],67,76,1.4330241688694283,"['Coughing up blood', 'Nausea']",True
libxzzcfqzorr,432717,138,242547,['decreasing'],62,42,4.405583095614034,"['Coughing up blood', 'Confusion', 'Weakness']",True
gohgchzlqqykh,501019,90,262212,['increasing'],82,67,2.1397018952724367,"['Nausea', 'Confusion']",False
iiwxhioppgagb,400504,42,248110,['decreasing'],83,33,1.4402906842779537,[],False
obbqhumwenucy,442240,5,278290,['decreasing'],63,59,1.6947623824125644,"['Coughing up blood', 'Confusion', 'Headache']",True
euzvicnxhxdxa,410496,13,287995,['increasing'],52,27,4.606658471017604,[],False
ixuxvtrelesrg,451899,140,304639,['increasing'],47,82,4.251234919595024,"['Nausea', 'Weakness']",True
bzvoowlkigaqk,476226,54,215087,['decreasing'],68,68,3.5883959730581276,"['Coughing up blood', 'Weakness']",False
objddgvkkpgan,400472,18,213897,['increasing'],61,59,2.4131036299921584,"['Headache', 'Coughing up blood']",True
nqlrtgmmfkoxx,501512,61,237388,['increasing'],53,44,2.2334633837381177,"['Headache', 'Nausea']",False
hqbbnwetwiswj,490571,161,254000,['increasing'],60,85,3.8551407859955735,['Coughing up blood'],True
stpwxyoegfotb,472612,58,271904,['increasing'],47,99,2.697483677536214,"['Coughing up blood', 'Weakness', 'Confusion', 'Nausea']",True
rsjnesbzvqgxy,490538,84,257890,['decreasing'],73,22,4.047654220593455,"['Headache', 'Weakness']",False
